sub1,sub2,sub3,sub4
249.9106315,-347.8606716,146.448318,2519.611722
272.2298618,-404.5666809,51.42269077,2481.394128
88.13527564,-442.321589,-45.83375656,2444.24007
-17.09539045,-460.3423785,-144.8304808,2408.20825
-71.47478448,-458.97613,-245.0450098,2373.355924
-145.8861054,-439.657448,-345.9252394,2339.738793
-222.7159135,-404.792753,-446.8922245,2307.410891
-163.3214156,-357.5796143,-547.3434566,2276.424486
-32.18921771,-301.774146,-646.6566153,2246.829979
-16.31867536,-241.4233596,-744.1937685,2218.675803
-88.15038262,-180.5819593,-839.3059952,2192.008337
-78.75924316,-123.0341764,-931.338391,2166.871811
14.02796688,-72.04077772,-1019.635413,2143.308223
46.1786317,-30.1293839,-1103.546512,2121.357264
89.89863977,1.057126373,-1182.432001,2101.056235
-11.19472065,20.84382541,-1255.669085,2082.43998
81.69370343,29.53347254,-1322.657996,2065.54082
104.4764217,28.34324845,-1382.828161,2050.388491
107.2498131,19.27442008,-1435.644325,2037.010091
93.40670499,4.92581353,-1480.612546,2025.430027
73.78000907,-11.73397276,-1517.286007,2015.669971
-12.30045912,-27.61781747,-1545.270542,2007.748818
-63.66732477,-39.77551864,-1564.229816,2001.682659
-109.4704972,-45.63416691,-1573.890082,1997.484746
-75.81538284,-43.20564975,-1574.044437,1995.16547
-68.16955873,-31.2462627,-1564.556526,1994.732348
-0.48914008,-9.357254336,-1545.363615,1996.19001
-2.30145993,21.98025747,-1516.478989,1999.540192
-54.37566739,61.43755745,-1477.993629,2004.781739
-96.59783545,106.9343439,-1430.077118,2011.910609
-68.21252286,155.7903926,-1372.977759,2020.919889
20.37120131,204.9208599,-1307.021868,2031.799806
39.75421588,251.0602685,-1232.612242,2044.537758
88.29901366,290.9984477,-1150.225797,2059.118336
100.3458098,321.8112032,-1060.410377,2075.523364
58.83956833,341.069259,-963.7807636,2093.731936
23.70249335,347.0109539,-861.0139098,2113.720463
126.70361,338.6671073,-752.8434371,2135.46272
-22.24660404,315.9301426,-640.0534457,2158.929907
-0.91269402,279.563684,-523.4716968,2184.090707
-6.16222645,231.1531115,-403.9622342,2210.911349
-52.12981393,173.0016503,-282.4175201,2239.355684
-64.08530552,107.9802202,-159.7501676,2269.385253
-80.28722316,39.34221065,-36.88435937,2300.959372
-54.59459514,-29.48357064,85.25295416,2334.035212
-90.77142737,-95.10743772,205.7409793,2368.567886
-40.35812773,-154.3864387,323.6740242,2404.510542
23.46670497,-204.6115255,438.1703635,2441.814457
74.77249536,-243.6625467,548.3809187,2480.429133
90.08177324,-270.1218246,653.4976523,2520.302399
104.7480037,-283.3400982,752.7615769,2561.380518
21.17336093,-283.4519313,845.4702831,2603.608287
-14.30298156,-271.3410667,930.9848943,2646.929154
-25.12224649,-248.5594396,1008.736364,2691.285322
-110.6624752,-217.2064299,1078.231039,2736.617866
-41.7849809,-179.7772814,1139.055416,2782.866846
0.23984378,-138.9913023,1190.880032,2829.971427
-13.90100736,-97.61142465,1233.462444,2877.869988
34.0873943,-58.26689318,1266.649249,2926.50025
59.04379384,-23.29030437,1290.377123,2975.799387
105.2919715,5.421015417,1304.672863,3025.704151
157.4254715,26.5111244,1309.65242,3076.150984
-13.91827002,39.23317591,1305.518948,3127.076146
-46.10110072,43.4754059,1292.559868,3178.415827
-110.3840589,39.74479445,1271.143,3230.106265
-182.2461462,29.11048988,1241.711789,3282.083867
-191.0866119,13.11158781,1204.779703,3334.285322
-85.28758343,-6.363969615,1160.923839,3386.647714
108.3844044,-27.22089286,1110.777849,3439.108639
232.648246,-47.30879661,1055.02424,3491.60631
130.309184,-64.57501057,994.386157,3544.07967
25.77061438,-77.20785228,929.6187449,3596.468493
-0.30269319,-83.76099721,861.5001969,3648.713493
137.5818884,-83.25090272,790.8225922,3700.756422
-50.53173268,-75.2210733,718.3826411,3752.540165
-295.1221038,-59.76918123,644.9724483,3804.008837
-156.4727353,-37.53554365,571.3704064,3855.107873
22.65759974,-9.654047172,498.3323335,3905.784114
52.60028672,22.33085977,426.5829611,3955.985892
176.2738299,56.57518391,356.8078779,4005.663108
101.5900988,91.06656821,289.6460266,4054.767306
-77.25097527,123.7663841,225.6828455,4103.251746
-45.70829612,152.7526921,165.4441373,4151.071467
31.92198633,176.3539216,109.3907395,4198.183353
71.95603617,193.2637194,57.91405802,4244.546186
-7.16191351,202.6286917,11.33251836,4290.120703
14.03874239,204.1026467,-30.11102775,4334.869639
34.70983303,197.8633079,-66.25091057,4378.75777
23.93713225,184.5901653,-96.99925113,4421.751954
49.77944427,165.4049634,-122.3455679,4463.82116
-202.0002133,141.7791063,-142.3553927,4504.9365
-291.6080978,115.414772,-157.1679178,4545.071244
-87.18671885,88.10858748,-166.992713,4584.200844
4.64445028,61.60816144,-172.1055572,4622.302945
35.49358641,37.47247098,-172.843447,4659.35739
