IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,Res
5.307140751,0.749132821,-0.944806347,-0.06353257,-0.26396436,1.509380936,-0.284416088,0.578004464,-0.219616312,-0.462192665,27.62486937
5.310398504,0.750355203,-0.94384671,-0.077960165,-0.3354185,1.366223023,-0.655715004,0.721255332,-0.322740991,0.376255119,27.61119419
5.313073675,0.751688943,-0.941003455,-0.092243213,-0.412162613,1.273986548,-0.784408149,0.578581097,-0.014339322,0.319173244,27.59765325
5.315365387,0.753093964,-0.937031239,-0.106572383,-0.492816103,1.176558222,-0.79797297,0.270669011,0.174123156,-0.319613602,27.58419656
5.317151264,0.754594585,-0.931464086,-0.120845684,-0.578233261,1.105771702,-0.594273544,-0.312444181,0.445132026,-0.666243508,27.57085469
5.318766998,0.756126099,-0.925614955,-0.135295811,-0.666239897,0.961240392,-0.52107788,-0.587901813,0.296875263,0.635576635,27.55754497
5.32023272,0.757684595,-0.919563531,-0.14994097,-0.756717702,0.73501653,-0.59220175,-0.522499044,-0.36471761,0.57844432,27.54426244
5.321277811,0.759322954,-0.912264493,-0.164578408,-0.851486764,0.502365722,-0.548511227,-0.488785167,-0.598820084,-0.879594516,27.53107417
5.321974509,0.761027342,-0.904002851,-0.179258272,-0.950095878,0.239784576,-0.464145403,-0.347599216,-0.493805045,0.178157813,27.51796242
5.322887191,0.762657848,-0.896525625,-0.195288009,-1.024459604,0.032129363,-0.392853498,-0.213595579,-0.178423944,-0.001298781,27.50477064
5.324040104,0.764206846,-0.889885397,-0.212774716,-1.071935249,-0.104506171,-0.310339419,-0.122268079,0.543464761,0.458506133,27.49149119
5.325217582,0.765730652,-0.883458682,-0.231139401,-1.105368989,-0.227498743,-0.24220811,0.092533508,0.728814354,-0.460807691,27.47818552
5.326573019,0.767190799,-0.877714854,-0.2507529,-1.116670553,-0.310834426,-0.19573798,0.40188184,0.352211366,-0.070957163,27.46481085
5.327713328,0.768681203,-0.871387423,-0.270814682,-1.122407953,-0.386719447,-0.071872006,0.468829655,-0.018997246,0.195500325,27.45147425
5.328626103,0.770205052,-0.86444111,-0.29129623,-1.123157223,-0.458999604,0.129364191,0.287207789,-0.596631863,0.140943676,27.43817922
5.329644214,0.771681073,-0.857925313,-0.31293324,-1.10326024,-0.488010721,0.354317829,-0.001779806,-0.558527195,-0.218040744,27.42483414
5.33069155,0.773127314,-0.85159397,-0.335577495,-1.065712895,-0.479708277,0.624925746,-0.483040973,0.217240683,-0.061811362,27.41145968
5.331455595,0.77462608,-0.844553279,-0.358368204,-1.030056965,-0.524880684,0.769635349,-0.672642202,0.370919896,0.065719148,27.39814527
5.33195365,0.776173467,-0.836863881,-0.381337455,-0.995643277,-0.625311303,0.76823636,-0.529840069,0.053153574,0.3345926,27.38488634
5.332289428,0.777740768,-0.828803744,-0.404816561,-0.954662907,-0.740505249,0.718385968,-0.358959874,-0.038868649,-0.313451613,27.37165243
5.332392236,0.779346736,-0.820173824,-0.428609453,-0.911565708,-0.89307291,0.57145779,-0.036137434,-0.123589292,-0.218512019,27.35846388
5.332541423,0.780919576,-0.811801946,-0.45343993,-0.850150453,-1.019090516,0.412824651,0.386443021,-0.11679454,0.333306976,27.34524174
5.332755337,0.782454353,-0.803740624,-0.479365158,-0.769065321,-1.113587434,0.250027033,0.890493223,0.068254326,0.049793544,27.33198072
5.332840604,0.78400125,-0.795426353,-0.505875798,-0.679738536,-1.226868352,-0.002344454,1.606511784,-0.091281873,-0.120554026,27.31873575
5.332862956,0.785543324,-0.787054324,-0.533146203,-0.578231869,-1.344370702,-0.32705018,2.528548519,-0.586156373,-0.196433392,27.30548825
