sub1,sub2,sub3,100mspd,10mspd
-0.980126588,2.114054505,33.09607208,13.9991,11.5508
0.735576905,-0.160987477,33.67541057,13.8541,11.4409
1.658222078,-1.658353056,34.32013098,13.6475,11.2863
0.139868509,-0.560479477,34.84061097,13.3751,11.0861
-2.046808901,1.542471193,35.04433771,13.0341,10.8393
-1.49743141,1.261815476,34.78561593,12.6609,10.5678
0.074520274,-0.960090254,34.00556998,12.3059,10.3032
3.51501058,-2.117639367,32.75262879,12.0241,10.0807
2.304821215,-3.403327154,31.17850594,11.8606,9.9312
-2.520583098,-5.589954649,29.51053775,11.7984,9.8504
-4.131872505,-5.194813055,28.00668556,11.7947,9.8167
-1.095439466,-3.457858919,26.90329838,11.7972,9.8009
3.016114213,-3.303204353,26.36709014,11.7653,9.7786
4.924407949,-2.225949563,26.46154161,11.713,9.7519
0.063785449,-2.538300217,27.13451477,11.6665,9.7293
-4.797523451,-6.96161767,28.22914112,11.6461,9.7141
-3.364849505,-7.860262419,29.51511192,11.6656,9.7098
1.274070468,-5.207486856,30.73341639,11.7226,9.723
4.246692129,-6.431841514,31.64514938,11.8049,9.757
2.058645251,-6.333286793,32.07464154,11.8912,9.8067
-1.884184878,-2.804613103,31.93879798,11.9631,9.8655
-3.728665468,-3.449040328,31.2577058,12.0275,9.9324
0.628596656,-5.484137972,30.14554132,12.0967,10.007
0.964569272,-5.389291612,28.78472234,12.1745,10.0818
1.710446514,-6.099769686,27.38932317,12.2569,10.146
-0.982084903,-5.183354622,26.16543952,12.341,10.2018
-0.108733219,-3.047482375,25.27621559,12.4278,10.2572
-0.000882704,-2.726853187,24.81773589,12.5199,10.3219
0.740567357,-1.919922298,24.80935494,12.6191,10.4037
-1.603955609,-1.354950626,25.19890624,12.7224,10.5006
-0.144904508,-1.805373091,25.8802776,12.8249,10.6077
0.458654874,-2.377314042,26.71865917,12.9208,10.7189
1.678373209,-3.216125416,27.57775221,13.0027,10.8262
-0.315883819,-0.877600473,28.34348429,13.0621,10.9177
-1.024386544,0.994250546,28.940136,13.0893,10.9799
-1.086508449,-0.650336459,29.33684491,13.0747,10.9994
1.131355375,1.953954138,29.54469049,13.0159,10.9707
0.480604011,3.742934342,29.60646165,12.9398,10.9186
-0.025577106,0.793198481,29.58237862,12.88,10.8752
-0.479258325,1.933952836,29.53530549,12.8692,10.8723
-0.205689418,2.127278284,29.51841113,12.9271,10.9296
0.624341852,0.488577555,29.56708059,13.0218,11.0193
-0.344395622,2.448867282,29.69552834,13.1062,11.0994
-0.028211993,1.730802399,29.89740959,13.1308,11.1262
-0.080134522,1.991083785,30.14905074,13.06,11.0679
0.330148202,4.566015603,30.4138362,12.9164,10.9455
-0.095248567,3.708537091,30.64671148,12.7374,10.793
-0.28805961,3.449610389,30.79844922,12.5586,10.6428
-0.023961517,3.303996781,30.81996474,12.4088,10.5211
0.389467325,3.233251304,30.66728137,12.2987,10.4357
0.216318105,1.396097403,30.30758449,12.2356,10.3911
-0.23009514,-0.456102353,29.72619749,12.2274,10.3923
-0.383697406,1.700224304,28.9334731,12.2769,10.4398
-0.302189312,0.062347469,27.96984184,12.3635,10.516
0.354926443,1.138141752,26.9069318,12.4599,10.598
0.257500704,2.929496626,25.84300267,12.5383,10.6623
0.755371888,0.892664219,24.89196389,12.5762,10.6907
-0.459619496,3.282832559,24.16678694,12.5753,10.6861
-0.369290339,1.659494655,23.75979568,12.5434,10.6571
-1.209810547,-1.453839129,23.72364968,12.4885,10.6122
0.558033703,-1.405413198,24.0573795,12.4219,10.5622
0.83466823,-2.145988388,24.70132016,12.3693,10.5257
1.165286409,-2.318498693,25.54321228,12.3596,10.5235
-0.491477518,-2.963914671,26.43539219,12.4218,10.5764
-1.37537013,-0.715031501,27.22040163,12.5729,10.6962
-0.689743024,1.889582146,27.76016088,12.7839,10.8605
0.37977243,0.617570373,27.9626572,13.0131,11.0372
1.376766281,0.362952791,27.80028093,13.2183,11.1932
0.369227385,-0.164765349,27.31553796,13.3681,11.3043
-0.411945914,-2.070617484,26.6125634,13.4759,11.3817
-0.736228105,-2.579813064,25.83604117,13.5666,11.4462
-0.255002514,-3.497029745,25.14203226,13.6657,11.5193
