sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
4.64163813,4.779882266,-1.209211503,1.94452076,25.15317035,12.9164,10.9455
4.60090403,4.268112969,-2.732443498,2.980885881,25.14254062,12.7374,10.793
4.559984418,3.590181844,-2.095356118,2.773246645,25.13194321,12.5586,10.6428
4.518420269,3.613578698,-1.603448871,2.450096544,25.12135336,12.4088,10.5211
4.476500251,4.364733337,-1.199770333,1.537749816,25.11078693,12.2987,10.4357
4.43308999,3.485667941,-2.227218315,1.128278326,25.10018206,12.2356,10.3911
4.388105392,1.001692862,-2.813097143,1.373764571,25.08953432,12.2274,10.3923
4.342328761,-0.17806924,-0.346958462,1.353812394,25.07888655,12.2769,10.4398
4.295487481,-0.400494889,-2.578431982,1.345215398,25.06822399,12.3635,10.516
4.249342037,-0.543910457,-1.465161045,1.102085554,25.05764391,12.4599,10.598
4.204133907,-0.07870039,-0.648178994,0.505585752,25.04715972,12.5383,10.6623
4.158823543,0.00543715,-2.546394883,-0.114580144,25.03671433,12.5762,10.6907
4.113923356,-0.353845422,-0.947865174,-0.8485489,25.02633614,12.5753,10.6861
4.068581167,-1.359810238,-1.101904212,-1.572844904,25.01597819,12.5434,10.6571
4.022720776,-3.322419242,-2.406864407,-2.239073555,25.00563643,12.4885,10.6122
3.977223879,-2.98976538,0.210812569,-2.983630753,24.99535969,12.4219,10.5622
3.931922103,-0.263837421,-1.500786266,-3.762437212,24.9851388,12.3693,10.5257
3.885244226,-0.282399737,-0.708605349,-3.479126576,24.97488744,12.3596,10.5235
3.83717651,-2.619723729,-1.170284428,-2.031773362,24.96460501,12.4218,10.5764
3.788370933,-3.261927871,-0.458098987,0.107328398,24.95432753,12.5729,10.6962
3.738437927,-2.990894334,0.010909924,3.257512785,24.9440337,12.7839,10.8605
3.688531118,-2.836025897,-1.160547284,4.334254853,24.93378721,13.0131,11.0372
3.638729467,-2.202791345,0.106183788,3.074285531,24.92359256,13.2183,11.1932
